"id","keyword","keyword_free_punctuation"
"5126544","اِئْتكال ","ائتكال "
"5126545","اِئْتِلاف ","ائتلاف "
"5126546","اِئْتلَفَ ","ائتلف "
"5126547","اِئْتمان ","ائتمان "
"5126548","اِئْتمانيّ ","ائتماني "
"5126549","اِئْتَمَنَ (على سِرّ)","ائتمن (على سر)"
"5126550","آب (شهر)","آب (شهر)"
"5126551","آبَ ","آب "
"5126552","آتٍ ","آت "
"5126553","آثار ","آثار "
"5126556","آثَرَ ","آثر "
"5126557","آثِم ","آثم "
"5126558","آجَرَ ","آجر "
"5126559","آجُرّ ","آجر "
"5126560","آجِن ","آجن "
"5126561","آح (بياضُ البَيض)","آح (بياض البيض)"
"5126562","آذَى ","آذى "
"5126564","آر (وحدةُ مِساحة = 100 متر مربَّع)","آر (وحدة مساحة = 100 متر مربع)"
"5126565","آزَرَ ","آزر "
"5126566","آزوت ","آزوت "
"5126567","آس ","آس "
"5126568","آفة (عَطَبٌ جَسَديّ)","آفة (عطب جسدي)"
"5126569","آكِل ","آكل "
"5126570","آكِلَة ","آكلة "
"5126571","آلَفَ ","آلف "
"5126572","آلَمَ ","آلم "
"5126574","آلِيّ ","آلي "
"5126575","آلِيَّة (تركيبةُ تشغيل)","آلية (تركيبة تشغيل)"
"5126577","آمِر ","آمر "
"5126578","آمَنَ بِـ ","آمن بـ "
"5126579","آمين ","آمين "
"5126580","آنِفُ الذِّكر ","آنف الذكر "
"5126581","آهِل ","آهل "
"5126582","آونْس (28.35غ-أفوارديْبوا)","آونس (28.35غ-أفوارديبوا)"
"5126583","آوَى ","آوى "
"5126584","أب (تستعمل للمُنَاداة والتحَبُّب)","أب (تستعمل للمناداة والتحبب)"
"5126586","أبٌ ","أب "
"5126587","أباجورة ","أباجورة "
"5126588","أَباحَ ","أباح "
"5126589","أَبادَ ","أباد "
"5126590","إبادة ","إبادة "
"5126591","إباضة ","إباضة "
"5126592","إبّالة ","إبالة "
"5126593","أبانَ ","أبان "
"5126594","اِبتَاعَ ","ابتاع "
"5126595","اِبتداء ","ابتداء "
"5126596","اِبْتِدَائِيّ ","ابتدائي "
"5126597","اِبْتِداع ","ابتداع "
"5126598","اِبْتَدَعَ ","ابتدع "
"5126599","أَبْتَر ","أبتر "
"5126600","اِبْتَزّ ","ابتز "
"5126601","اِبْتِزَاز ","ابتزاز "
"5126602","اِبْتِسامَة ","ابتسامة "
"5126605","اِبْتَسَم ","ابتسم "
"5126608","اِبتِعاث ","ابتعاث "
"5126609","الابتعاثيَّة (بالنِّسبة إلى الجسم الأسود)","الابتعاثية (بالنسبة إلى الجسم الأسود)"
"5126610","اِبتِعاد ","ابتعاد "
"5126611","اِبْتَعَدَ ","ابتعد "
"5126612","اِبْتَغَى ","ابتغى "
"5126613","اِبْتَكَر ","ابتكر "
"5126614","اِبْتِلال ","ابتلال "
"5126615","اِبْتَلَعَ ","ابتلع "
"5126617","اِبْتَلَى ","ابتلى "
"5126618","اِبْتِهاج ","ابتهاج "
"5126620","ابْتِهال ","ابتهال "
"5126621","اِبْتَهَجَ ","ابتهج "
"5126622","اِبْتَهَلَ إلى ","ابتهل إلى "
"5126623","أَبْجَدِيّ ","أبجدي "
"5126624","الأَبْجَدِيّة ","الأبجدية "
"5126625","أَبَحُّ (صَوْت)","أبح (صوت)"
"5126626","إِبْحَار ","إبحار "
"5126627","أَبْحَرَ ","أبحر "
"5126629","أَبَد ","أبد "
"5126630","أَبَدًا ","أبدا "
"5126631","إِبْداع ","إبداع "
"5126632","إِبْداعيّ ","إبداعي "
"5126633","إِبْدَال ","إبدال "
"5126634","أَبْدَى ","أبدى "
"5126639","أَبْدَعَ ","أبدع "
"5126640","أَبَدِيّ ","أبدي "
"5126641","أَبَرَ ","أبر "
"5126642","أَبْرَأَ ","أبرأ "
"5126643","إِبْرَة ","إبرة "
"5126646","أَبْرَزَ ","أبرز "
"5126648","إِبْراز ","إبراز "
"5126649","إِبْراق ","إبراق "
"5126650","أَبْرَدَ (أرسَلَ بالبريد)","أبرد (أرسل بالبريد)"
"5126651","أَبْرَشُ ","أبرش "
"5126652","أَبْرَشِيَّة ","أبرشية "
"5126653","أَبْرَق ","أبرق "
"5126654","أَبْرَقَ (لَمَع)","أبرق (لمع)"
"5126655","أَبْرَمَ (أضجَرَ)","أبرم (أضجر)"
"5126656","إِبْريّ ","إبري "
"5126657","إبريسَم ","إبريسم "
"5126658","إِبْريق ","إبريق "
"5126660","إِبْريل ","إبريل "
"5126661","إِبْزِيم ","إبزيم "
"5126662","إِبْصَار ","إبصار "
"5126663","أَبْصَرَ ","أبصر "
"5126665","إِبْط ","إبط "
"5126666","أَبْطَأَ ","أبطأ "
"5126667","إِبْطاء ","إبطاء "
"5126668","إِبْطَال ","إبطال "
"5126669","أَبْطَلَ ","أبطل "
"5126670","أَبْعَاد ","أبعاد "
"5126671","إِبْعَاد ","إبعاد "
"5126672","أَبْعَدَ ","أبعد "
"5126674","أَبْعَد ","أبعد "
"5126675","الأَبْعَد ","الأبعد "
"5126676","أَبْعَدُ  (مِن)","أبعد  (من)"
"5126677","أَبْغَضَ ","أبغض "
"5126678","أَبْقَى (في عمل أو وظيفة)","أبقى (في عمل أو وظيفة)"
"5126682","أَبْقَعُ ","أبقع "
"5126683","إِبكار (في النَّشأة أو النُّضج)","إبكار (في النشأة أو النضج)"
"5126684","أَبْكَم ","أبكم "
"5126685","إِبْلاغ ","إبلاغ "
"5126686","إِبْلال ","إبلال "
"5126687","أَبْلَغَ ","أبلغ "
"5126690","أَبْلَه ","أبله "
"5126691","أَبْلَى ","أبلى "
"5126692","إِبْليس ","إبليس "
"5126693","اِبْن ","ابن "
"5126702","أُبنة ","أبنة "
"5126703","اِبْنَة ","ابنة "
"5126706","أَبِهَ لِـ ","أبه لـ "
"5126707","إِبهام (غُموض)","إبهام (غموض)"
"5126709","أُبَّهَة ","أبهة "
"5126710","أَبْهَجَ ","أبهج "
"5126711","الأَبْهَر ","الأبهر "
"5126712","أَبْهَمَ ","أبهم "
"5126713","أَبُو الجَدّ ","أبو الجد "
"5126714","أَبُو جعْران ","أبو جعران "
"5126715","أَبُو الحِنّاء (طائر صغير مُغَرِّد)","أبو الحناء (طائر صغير مغرد)"
"5126716","أَبُو مِقَصّ (حشرة)","أبو مقص (حشرة)"
"5126717","أَبُو الهَوْل ","أبو الهول "
"5126718","أَبَى ","أبى "
"5126719","أَبِيّ ","أبي "
"5126720","أَبْيَض ","أبيض "
"5126721","اِبْيَضَّ ","ابيض "
"5126722","اِبْيِضاضُ الدم ","ابيضاض الدم "
"5126723","إتاء ","إتاء "
"5126724","إتآم (وِلادةُ التوائم)","إتآم (ولادة التوائم)"
"5126725","إتاحِيَّة ","إتاحية "
"5126726","إتاوَة (رَيْع)","إتاوة (ريع)"
